Date,Open,High,Low,Close,Volume,Day,Weekday,Week,Month,Year
1993-09-14,26.4114688899066,26.4114688899066,26.28671836208653,26.375825881958008,184500,14,1,37,9,1993
1993-09-15,26.26889609519362,26.464932633217455,26.179788577910063,26.447111129760742,101000,15,2,37,9,1993
1993-09-16,26.41146736248259,26.429288865426237,26.322359847764364,26.340181350708008,54300,16,3,37,9,1993
1993-09-17,26.32496190298791,26.342894438344167,26.253231761562873,26.28909683227539,200900,17,4,37,9,1993
1993-09-20,26.32496336106585,26.37876097011435,26.07390785217285,26.07390785217285,57800,20,0,38,9,1993
1993-09-21,26.109782638181233,26.14564772422269,25.715266691725198,25.984254837036133,318200,21,1,38,9,1993
1993-09-22,26.073912226933476,26.23530508115796,26.038047148216922,26.199440002441406,439700,22,2,38,9,1993
1993-09-23,26.27115585270019,26.360818500661622,26.235290793515617,26.342885971069336,88500,23,3,38,9,1993
1993-09-24,26.307040470370662,26.32497301329525,26.23531029867231,26.271175384521484,53500,24,4,38,9,1993
1993-09-27,26.468437019672688,26.5580997467041,26.468437019672688,26.5580997467041,274600,27,0,39,9,1993
1993-09-28,26.576019774915725,26.576019774915725,26.486357090115064,26.504289627075195,158300,28,1,39,9,1993
1993-09-29,26.504308898677166,26.576039098673586,26.378781048683432,26.41464614868164,221000,29,2,39,9,1993
1993-09-30,26.41464320980773,26.468440853819555,26.307047921784072,26.3608455657959,99300,30,3,39,9,1993
1993-10-01,26.32496769620344,26.52222562853194,26.28910261759826,26.486360549926758,22700,1,4,39,10,1993
1993-10-04,26.52223014831543,26.52223014831543,26.450499978881176,26.52223014831543,1038500,4,0,40,10,1993
1993-10-05,26.576023246439714,26.576023246439714,26.396697853413805,26.486360549926758,436500,5,1,40,10,1993
1993-10-06,26.504288916342304,26.611884135217846,26.46842384338379,26.46842384338379,209200,6,2,40,10,1993
1993-10-07,26.504304725190867,26.504304725190867,26.378776894963305,26.396709442138672,59400,7,3,40,10,1993
1993-10-08,26.468432681369652,26.486365223836703,26.23530962929797,26.432567596435547,54400,8,4,40,10,1993
1993-10-11,26.486360549926758,26.54015816783453,26.486360549926758,26.486360549926758,467100,11,0,41,10,1993
1993-10-12,26.52223014831543,26.54016269067399,26.504297605956864,26.52223014831543,26200,12,1,41,10,1993
1993-10-13,26.54016269067399,26.54016269067399,26.486365063598303,26.52223014831543,139100,13,2,41,10,1993
1993-10-14,26.62981874952329,26.86294174194336,26.558088598009423,26.86294174194336,108100,14,3,41,10,1993
1993-10-15,26.988472336950213,27.060202495985298,26.91674217791513,27.006404876708984,1502500,15,4,41,10,1993
1993-10-18,26.98846901463129,26.98846901463129,26.89880632687504,26.93467140197754,722400,18,0,42,10,1993
1993-10-19,26.898810081558686,26.952607701721803,26.737417221069336,26.737417221069336,880100,19,1,42,10,1993
1993-10-20,26.827074892793977,26.827074892793977,26.71947967263571,26.773277282714844,230400,20,2,42,10,1993
1993-10-21,26.791214841232453,26.791214841232453,26.70155214096059,26.737417221069336,56200,21,3,42,10,1993
1993-10-22,26.773275985872008,26.88087120081858,26.61188316345215,26.61188316345215,390700,22,4,42,10,1993
1993-10-25,26.629813313484192,26.719475984573364,26.558083176612854,26.683610916137695,114500,25,0,43,10,1993
1993-10-26,26.665691375732422,26.683623918688532,26.576028660951884,26.665691375732422,186200,26,1,43,10,1993
1993-10-27,26.629813313484192,26.70154345035553,26.629813313484192,26.683610916137695,118400,27,2,43,10,1993
1993-10-28,26.719479894860733,26.952602873809184,26.719479894860733,26.88087272644043,129600,28,3,43,10,1993
1993-10-29,26.86294018959824,26.89880526328262,26.845007652756053,26.88087272644043,80700,29,4,43,10,1993
1993-11-01,26.845014766304793,26.9705425574632,26.845014766304793,26.95261001586914,36400,1,0,44,11,1993
1993-11-02,26.91673886442629,26.97053647708004,26.773278564016287,26.93467140197754,262100,2,1,44,11,1993
1993-11-03,26.916737842624123,26.916737842624123,26.46842442086156,26.593952178955078,479100,3,2,44,11,1993
1993-11-04,26.593969575222772,26.593969575222772,26.289116249006465,26.307048797607422,130400,4,3,44,11,1993
